Title,Lead author,Gender of lead author,Lead authors' institution,Lead author's institution location,Peer-reviewed,Grey literature,Type of paper,Publication date,Publisher/Journal,Volume,Publication URL/DOI,Scientific discipline,Geographical scope,Was sufficiency mentioned in the paper,Human needs,Sub-sector,Policy area,Policy instrument ,Policy measure,Policy intervention,Type of quantification,Quantification results,Quantification gaps,Timeline,Cost of policy intervention,How the policy intervention is financed,Institutional arrangement,Stakeholders involved,Stakeholders impacted ,Natural resources impacted ,Wellbeing (type and impact),Equity consideration,Planetary boundaries impacted
"Ecological sufficiency, individual liberties, and distributive justice: Implications for policy making",Peter Heindl,Male,Centre for European Economic Research,Germany,Yes,No,Research paper,2016,Ecological Economics,126,http://dx.doi.org/10.1016/j.ecolecon.2016.03.019,Economics,World,Yes,ALL,ALL,ALL,Not identified,Not identified,,None,,,,,,,,,,,,
The politics of sufficiency: Making it easier to live the good life,Uwe Schneidewind,Male,Oekom,Germany,No,Yes,Book,2014,Oekom,NA,https://epub.wupperinst.org/frontdoor/deliver/index/docId/5550/file/5550_Schneidewind.pdf,Economics,Germany,Yes,All,All,Political economy,,,,None,,,,,,,,,,,,
"Impact of Application of Sufficiency Economy Philosophy on the Well‐Being of Thai Population: A Systematic Review and Meta‐Analysis of Relevant Studies",Proloy Barua,Male,College of Health Systems Management,Thailand,Yes,No,Research paper,2019,Journal of Population and Social Studies,27,DOI: 10.25133/JPSSv27n3.0013,Economics,Thailand,Yes,"Education, social, economics, agriculture, environment, and health.",,"education, social, economics, agriculture, environment, and health.",,,,A random effect model,55% improvement of the study's participants wellbeing,,,,,,,,,,,
Measuring needs for priority setting in healthcare planning and policy,Anders Herlitz,Male,"University of Gothenburg,",Sweden,Yes,No,Research paper,2016,Social Science & Medicine,157,http://dx.doi.org/10.1016/j.socscimed.2016.03.002,Economics,World,No,Healthcare,,Healthcare policy,NI,NI,,Aggregate need satisfaction,No,,,,,,,,,,,
Energy-Sufficiency for a Just Transition: A systematic review,Matthew J. Burke,Male,University of Vermont,United States,Yes,No,Review paper,2020,Energies,2020,doi:10.3390/en13102444,Economics,World,Yes,Energy,,Energy policies,NI,NI,NI,,,,,,,,,,,,,
Equality a a moral ideal,Harry Frankfurt,Male,Princeton University,United States,Yes,No,Research paper,1987,Ethics,98,https://www.jstor.org/stable/2381290,Philosophy,World,Yes,All,,ALL,NI,NI,NI,,,,,,,,,,,,,
Two types of enough: Sufficiency as a minimum and maximum,Laura Spengler,Female,Leuphana University,Germany,Yes,No,Research paper,2016,Environmental politics,25, 10.1080/09644016.2016.1164355,Political science,World,Yes,All,,,,,,,,,,,,,,,,,,
Sufficientarianism,Liam Shields,Male,University of Manchester,United Kingdom,Yes,No,Research paper,2020,Philosophy Compass,15,10.1111/phc3.12704,Philosophy,World,Yes,All,,,,,,,,,,,,,,,,,,
Eco-thermodynamics: economics and the second law,Robert Ayers,Male,INSEAD,France,Yes,No,Research paper,1998,Ecological Economics,26,10.1016/S0921-8009(97)00101-8,Economics,World,No,Energy,,,,,,,,,,,,,,,,,,
Energy sufficiency: an introduction,Sarah Darby,Female,University of Oxford,United Kingdom,No,Yes,Concept paper,2018,ECEEE,,https://www.energysufficiency.org/static/media/uploads/site-8/library/papers/sufficiency-introduction-final-oct2018.pdf,Political science,EU,,Energy,,,,,,,,,,,,,,,,,,
Introducing sufficiency in the building sector in net-zero scenarios for France,Albane Gaspard,Female,ADEME,France,Yes,No,Analytical,1 January 2023,Energy and Buildings,"Volume 278, ",https://doi.org/10.1016/j.enbuild.2022.112590,Building energy policies,France,Yes,Building,Residential buildings,Not identified,Not identified,Not identified,A cap on floor area per capita,Bottom-up modelling of energy in the use phase,GHG emission reduced by 90% in 2050 compared to super efficient scenario,Not all sufficiency measures can be modelled,2015-2050,Not identified ,Not identified ,Not identified,Not identified,Not identified,Energy ,Not identified,Not identified,Land use
"Carsharing’s life-cycle impacts on energy use and greenhouse gas emissions",T. Donna Chen,,University of Virginia,United States,Yes,No,Analytical,18 June 2016,Transportation Research Part D: Transport and Environment,Volume 47,https://doi.org/10.1016/j.trd.2016.05.012,Transport energy policy,United States,No,Transport ,Mobility of individuals,"Environment, Transport",Not identified,Setting car sharing organization in urbanely dense areas ,"Mode shift, avoided travers, ",Life-cycle assessment,5% savings in all household transport-related energy use and GHG emissions in the U.S.,Land use,Not identified,Not identified,Not identified,Not identified,Not identified,Individuals,Land,Not identified,Not identified,Land use
All about size? – The potential of downsizing in reducing energy demand,Gesche M. Huebner,,University College London,United Kingdom,Yes,No,Analytical,2 March 2016,Applied Energy,Volume 186,https://doi.org/10.1016/j.apenergy.2016.02.066,Energy policy ,United Kingdom,No,Building ,Residential buildings,Energy policy,Not identified,Not identified,Downsizing houses,Regression analysis,Up to 27% of energy savings per households,Land use,Not identified,Not identified,Not identified,Not identified,Not identified,Individuals,Land,Social benefits,Not identified,Land use
